Names,Ebay Url,Time,Amazon,Amazon Url
desmondh-13,https://www.ebay.com/itm/401820385259,28:44.9,,
tech_pointusa,https://www.ebay.com/itm/143074387428,29:28.2,,
tech_pointusa,https://www.ebay.com/itm/143253240707,29:28.3,,
tech_pointusa,https://www.ebay.com/itm/142162532662,29:28.4,,
tech_pointusa,https://www.ebay.com/itm/142235220812,29:28.5,,
tech_pointusa,https://www.ebay.com/itm/142761449292,29:28.6,,
tech_pointusa,https://www.ebay.com/itm/143083215921,29:28.7,,
tech_pointusa,https://www.ebay.com/itm/143083265927,29:28.8,,
tech_pointusa,https://www.ebay.com/itm/142999067338,29:28.9,,
tech_pointusa,https://www.ebay.com/itm/142442653617,29:29.0,,
tech_pointusa,https://www.ebay.com/itm/143074420323,29:29.1,,
tech_pointusa,https://www.ebay.com/itm/143244069574,29:29.2,,
maro_798,https://www.ebay.com/itm/401806732428,29:50.2,,
maro_798,https://www.ebay.com/itm/401808551751,29:50.3,,
maro_798,https://www.ebay.com/itm/401806734066,29:50.4,,
maro_798,https://www.ebay.com/itm/401808552430,29:50.5,,
maro_798,https://www.ebay.com/itm/401800873541,29:50.6,,
maro_798,https://www.ebay.com/itm/401800875439,29:50.7,,
maro_798,https://www.ebay.com/itm/401800890872,29:50.8,,
maro_798,https://www.ebay.com/itm/401806732963,29:50.9,,
maro_798,https://www.ebay.com/itm/401806733371,29:51.0,,
maro_798,https://www.ebay.com/itm/401806733862,29:51.1,,
maro_798,https://www.ebay.com/itm/401808551688,29:51.2,,
maro_798,https://www.ebay.com/itm/401809618655,29:51.4,,
maro_798,https://www.ebay.com/itm/401809618879,29:51.5,,
ebuy-deals,https://www.ebay.com/itm/264191649433,30:08.8,,
chichomestore,https://www.ebay.com/itm/382739859197,30:15.9,,
chichomestore,https://www.ebay.com/itm/383032822833,30:16.0,,
chichomestore,https://www.ebay.com/itm/383033363442,30:16.1,,
chichomestore,https://www.ebay.com/itm/382976228926,30:16.2,,
chichomestore,https://www.ebay.com/itm/382998119902,30:16.3,,
chichomestore,https://www.ebay.com/itm/382998119927,30:16.4,,
chichomestore,https://www.ebay.com/itm/383032822512,30:16.5,,
